,asin,category,color,description,name
501,B003YDYYAW,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Jewelry
            


             ›
         


                Necklaces
            


             ›
         


                 Pendants",unavailable,"10k white gold necklace featuring mother and baby turtle pendant accented with black and white diamonds
							
						
 
							18"" rope chain with spring-ring clasp
							
						
 
							Carat weight listed is the total for all stones.
							
						
 
							All our diamond suppliers confirm that they comply with the Kimberley Process to ensure that their diamonds are conflict free
							
						
 
							Black diamonds may have been treated to improve their appearance or durability.
							
						
 
							Imported","10k White Gold Black and White Diamond Mother and Baby Turtle Pendant Necklace (.08 cttw), 18"""
502,B001VN2P3K,"Clothing, Shoes & Jewelry
            


             ›
         


                Men
            


             ›
         


                Accessories
            


             ›
         


                 Belts","[<span class=""selection"">Black</span>]","100% Leather
							
						
 
							Imported
							
						
 
							Wash by hand with damp cloth
							
						
 
							Center padded with dropped edge
							
						
 
							Double loop",Dickies Men's 1 3/8 in. Feather Edge Belt With Stitch Belt
503,B003JZANUK,"Clothing, Shoes & Jewelry
            


             ›
         


                Men
            


             ›
         


                Shoes
            


             ›
         


                 Slippers","[<span class=""selection"">Hashbrown</span>]","100% Suede
							
						
 
							Rubber sole
							
						
 
							Imported
							
						
 
							Fit: True to Size
							
						
 
							Insole: Foam
							
						
 
							Upper: Suede
							
						
 
							Features of this item include: Comfortable, Cushioned, Padded Footbed, Shearling, Suede",L.B. Evans Men's Bryce
504,B001LJQFZS,"Clothing, Shoes & Jewelry
            


             ›
         


                Men
            


             ›
         


                Accessories
            


             ›
         


                Wallets, Card Cases & Money Organizers
            


             ›
         


                 Wallets","[<div class=""a-row a-spacing-micro"">
<strong>
                          Size:
                        </strong>
            One Size
                    </div>, <div class=""a-row a-spacing-micro"">
<strong>
                          Color:
                        </strong>
            Black
                    </div>]","80% Leather, 20% Woven Cotton
							
						
 
							Imported
							
						
 
							Dry Clean Only
							
						
 
							Genuine leather
							
						
 
							7 card slots
							
						
 
							2 hidden key keepers
							
						
 
							Business card pocket",Rolfs Men's Black Brass Attache Wallet
505,B009WRRTVA,unknown category,unknown color,unknown details,unknown product name
506,B00BNB3A0W,unknown category,unknown color,unknown details,unknown product name
507,B006VM41J2,unknown category,unknown color,unknown details,unknown product name
508,B00DVPTM8M,unknown category,unknown color,unknown details,unknown product name
509,B004SW9N5O,"Clothing, Shoes & Jewelry
            


             ›
         


                Men
            


             ›
         


                Clothing
            


             ›
         


                Jackets & Coats
            


             ›
         


                 Fleece","[<span class=""selection"">Dark Navy</span>]","80% Cotton/20% Polyester
							
						
 
							Imported
							
						
 
							Machine Wash
							
						
 
							Lining: Cotton/Polyester
							
						
 
							Drawstring hood
							
						
 
							Full front zipper
							
						
 
							Two deep hand-warmer pockets
							
						
 
							Thermal knit lining in body and hood",Dickies Men's Thermal-Lined Fleece Hoodie
510,B005UJVJMO,"Clothing, Shoes & Jewelry
            


             ›
         


                Women
            


             ›
         


                Shoes
            


             ›
         


                Athletic
            


             ›
         


                 Walking","[<span class=""selection"">Grey/Blue</span>]","100% Synthetic and fabric
							
						
 
							Rubber sole
							
						
 
							Women's Athletic Walking Shoes
							
						
 
							SuperLight/SuperFresh
							
						
 
							Komen",New Balance Women's WW895 Walking-W
511,B0040JB0OW,unknown category,unknown color,unknown details,unknown product name
512,B00C3ZRUUI,"Clothing, Shoes & Jewelry
            


             ›
         


                Men
            


             ›
         


                Watches
            


             ›
         


                 Pocket Watches","[<div class=""a-row a-spacing-micro"">
<strong>
                          Color:
                        </strong>
            Silver
                    </div>]","100% Brand New Hunter Pocket Watch
							
						
 
							Case Diameter: 47 mm , Case Thickness: 15 mm , Chain Length: 46 cm
							
						
 
							Movement: Quartz,Case Materia: Alloy
							
						
 
							Sold by YouYouPiFa. Package Includes:1 Pocket Watch and 1 Free Gift Box
							
						
 
							Perfect Choice:Perfect gift for your love and family or yourself, Best Valentine day Gift, Superb Christmas Gift, Birthday Gift, Wedding Gift etc. Please keep the watch away from magnet to avoid making the watch stop working",Youyoupifa Fashion Silver Pattern Carving Hollow Big Pocket Watch
